user_id,d,b,w,bookmarks,exercises
768,1.84375,1.1,30.0,11,0
769,1.84375,1.1,30.0,11,0
770,1.84375,1.1,30.0,11,0
772,1.84375,1.1,30.0,11,0
773,1.84375,1.1,30.0,11,0
774,1.84375,1.1,30.0,11,0
775,1.84375,1.1,30.0,11,0
776,1.84375,1.1,30.0,11,0
777,1.84375,1.1,30.0,11,0
778,1.84375,1.1,30.0,11,0
